title,painter,creation_date,author_gender,author_country,location_name,location_country,time_period,image_path,image_url
title,Clara Peeters,,female,Habsburg Netherlands,Los Angeles County Museum of Art,United States of America,,img/img_512/WLA lacma Clara Peeters still life.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/WLA%20lacma%20Clara%20Peeters%20still%20life.jpg
title,Clara Peeters,,female,Habsburg Netherlands,,,,img/img_512/Clara Peeters - A still life with carp in a ceramic colander etc.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Peeters%20-%20A%20still%20life%20with%20carp%20in%20a%20ceramic%20colander%20etc.jpg
title,Clara Peeters,,female,Habsburg Netherlands,Royal Museum of Fine Arts Antwerp,Belgium,,img/img_512/Clara Peeters - Stilleven met vis - 834 - Royal Museum of Fine Arts Antwerp.tiff,http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Peeters%20-%20Stilleven%20met%20vis%20-%20834%20-%20Royal%20Museum%20of%20Fine%20Arts%20Antwerp.tiff
title,Clara Peeters,,female,Habsburg Netherlands,National Museum of Women in the Arts,United States of America,,img/img_512/Clara Peeters - Still life with fish and cat.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Peeters%20-%20Still%20life%20with%20fish%20and%20cat.jpg
title,Clara Peeters,,female,Habsburg Netherlands,Mauritshuis - room 3,,,"img/img_512/Clara Peeters - Still Life with Cheeses, Almonds and Pretzels.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Peeters%20-%20Still%20Life%20with%20Cheeses%2C%20Almonds%20and%20Pretzels.jpg
title,Clara Peeters,,female,Habsburg Netherlands,Museo del Prado,Spain,,img/img_512/Clara Peeters - Mesa (Prado) 01.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Peeters%20-%20Mesa%20%28Prado%29%2001.jpg
title,Gerard David,,male,Habsburg Netherlands,Room 818,France,,img/img_512/Gerard David - The Marriage at Cana.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20David%20-%20The%20Marriage%20at%20Cana.jpg
title,Clara Peeters,,female,Habsburg Netherlands,Museo del Prado,Spain,,img/img_512/Mesa (Clara Peeters).jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Mesa%20%28Clara%20Peeters%29.jpg
title,Jan Provoost,,male,Southern Netherlands,Room 817,France,,"img/img_512/Provost, Jan - Le Cosmos sous l'oeil de Dieu, en présence du Christ-juge et de l'Église, RF 1973 44.jpg",http://commons.wikimedia.org/wiki/Special:FilePath/Provost%2C%20Jan%20-%20Le%20Cosmos%20sous%20l%27oeil%20de%20Dieu%2C%20en%20pr%C3%A9sence%20du%20Christ-juge%20et%20de%20l%27%C3%89glise%2C%20RF%201973%2044.jpg
title,Clara Peeters,,female,Habsburg Netherlands,Ashmolean Museum,United Kingdom,,img/img_512/Clara Peeters - basket of fruit with a tazza holding grapes a bouquet of flowers and a flagon WA1940.2.61.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Peeters%20-%20basket%20of%20fruit%20with%20a%20tazza%20holding%20grapes%20a%20bouquet%20of%20flowers%20and%20a%20flagon%20WA1940.2.61.jpg
